group_key;type;slot_titles;slot_identities;role;undercover_identity;mission;bonus;outfit;tags;count;not_real_partners;requires_any_group_key;condition_note
journalist;single;;;The Journalist;Nosy party reporter;Collect suspicious fun facts from party guests. Record video interviews or write down.;Create a fake scandal from an innocent answer.;Notebook, pen, press badge, practical jacket.;performance;1;;;
party-photographer;single;;;The Party Photographer;Event photographer;Take photos like you are documenting a major cultural event.;Start a tiny red-carpet photoshoot.;Camera or phone ready;camera;2;;;
bartender;single;;;The Bartender;Suspiciously helpful drink expert;Open bottles, pour shots, or offer drink service without making it too obvious.;Invent a signature drink.;Apron, towel over shoulder, bottle opener, confident service face.;alcohol;3;;;
dj;single;;;The DJ;Music operative;Successfully change the music vibe during the party.;Make one guest explain why your song choice is perfect.;Sunglasses, headphones, dark shirt, unnecessary confidence.;music;4;;;
food-critic;single;;;The Food Critic;Serious culinary reviewer;Review snacks and drinks with unnecessary intensity.;Compare one snack to a traumatic childhood memory.;Smart casual, tiny notebook, judgemental restaurant-review posture.;performance|alcohol|food;5;;;
charity-worker;single;;;Charity Worker;Fake activist;Convince people to sign a petition for a fake charity or cause.;Create a slogan for your charity.;Something to collect signatures (clipboard, ipad, notebook), sincere smile.;performance;7;;;
psychic;single;;;The Psychic;Mystical consultant;Give tarot, or fake psychic readings to party guests.;Predict a guest’s next sentence.;Flowy layers, rings, scarf, mysterious object or cards.;performance;8;;;
bride-groom;pair;;;The Bride;Runaway bride;Identify who {{partner}} is at the party. Act like this party is somehow your wedding to them.;Recruit guests into your bridal party.;White outfit or shirt, improvised veil, dramatic bouquet substitute.;romance|performance;9;TRUE;;
bride-groom;pair;;;The Groom;Dramatic fiance;Identify who {{partner}} is at the party. Act terrified but determined to marry them.;Dramatically present a toy/candy ring to {{partner}} in front of a group of people.;Button-up shirt, fake ring, nervous formal occasion energy.;romance|performance;10;TRUE;;
celebrity-bodyguard;single;;;Celebrity Bodyguard;Overprotective security;Pick someone and protect them dramatically for the night.;Ask someone to step back from your celebrity.;Black shirt, sunglasses, serious stance, security earpiece.;performance;11;;;
professional-matchmaker;single;;;Professional Matchmaker;Romance/friendship broker;Create new friendships or couples and collect fake testimonials for your service.;Offer a money-back guarantee.;Notebook to collects “client” information and testimonials and a warm smile.;romance|performance;12;;;
wannabe-rockstar;single;;;The Wannabe Rockstar;Washed-up celebrity;"Convince people you are famous, or used to be famous ""back in the day.""";Occasionally quote lyrics from your songs.;Leather jacket, sunglasses, band tee, fading-star confidence.;performance;13;;;
david-attenborough;single;;;The Documentarian;Wildlife documentarian;Film short videos of the party while narrating people like animals in nature.;Narrate a feeding or mating ritual.;Neutral explorer colors, hat if available, documentary narrator calm.;camera|performance;14;;;
street-magician;single;;;Street Magician;Bad illusionist;"Perform magic tricks. If they fail, insist the audience just ""didn't understand the technique.""" or had ""bad energy"".;"Say ""watch closely"" before something deeply unimpressive.";Dark jacket, deck of cards, suspiciously theatrical hands.;performance;15;;;
artist;single;;;The Artist;Park sketch artist;Bring a sketchbook and draw people, scenes, gifting the drawings.;Make one sketch look unnecessarily dramatic.;Beret optional, sketchbook, pencil, paint-splattered or artsy layers.;;16;;;
divorced-dad;single;;;The Divorced Dad;Nostalgic park dad;Always be holding a beer and keep reminiscing about 2010.;Mention fake child, and things that were better back then.;Band t-shirt or old hoodie, cargo shorts, tired-but-wise dad. Beer is mandatory.;performance|alcohol;17;;;
gym-bro;single;;;The Gym Bro;Fitness influencer;Use random park/party objects as exercise equipment and flex whenever possible.;Invite someone to spot you.;Tank top or athletic wear, water bottle, gym towel.;performance;18;;;
spiritualist;single;;;The Spiritualist;Aura specialist;Assign people aura colors and recommend stones/crystals to heal them.;Declare one aura deeply complicated.;Beads, scarf, crystals or meaningful-looking stones.;performance;19;;;
astrologist;single;;;The Astrologist;Birth chart detective;Guess people's star signs and do Google-assisted chart readings.;Blame one social interaction on Mercury.;Celestial colors, shiny accessory, phone ready for birth charts.;performance;20;;;
terrible-tourist;single;;;Terrible Tourist;Lost tourist;Take awkward selfies with random objects, people, trees, drinks, etc.;Ask someone to photograph you with something boring.;Tourist shirt, sunglasses, cap, camera/phone.;camera|performance;21;;;
fake-couple;pair;;;Fake Couple;Hopeless romantic;Identify who {{partner}} is at the party. Convince people that you and they are a real couple. Be overly sentimental about tiny details.;Tell the story of your first date, make it sound magical.;Blind date outfit;romance|performance;22;TRUE;;
fake-couple;pair;;;Fake Couple;Commitment-phobe partner;Identify who {{partner}} is at the party. Convince people you and they are a real couple, but panic whenever the relationship sounds serious.;When your partner is telling stories you, keep correcting the details, making it sound awkward.;Blind date outfit;romance|performance;23;TRUE;;
